CodigoArticulo,DescripcionArticulo,TotalVendido,FechaVenta,Sucursal,InventarioMovimiento
438,KETOROLACO SUBLINGUAL TABLETAS 30 G 6 PZ MAVIDOL SL,1.0,2022-01-01,16,1.0
774,ELECTROLITOS ORALES SABOR FRESA KIWI,8.0,2022-01-01,16,2.0
779,ELECTROLITOS ORALES SABOR LIMA LIMON,8.0,2022-01-01,16,2.0
9016,ACTI KROLL  ÁCIDO GLUTÁMICO  TIAMINA 100 TABLETAS DE 807 MG  SUPLEMENTO ALIMENTICIO,1.0,2022-01-01,16,1.0
9361,GERAMIN  JALEA REAL  VITAMINAS  MINERALES 30 CÁPSULAS DE 900 MG ,1.0,2022-01-01,16,1.0
676,ELECTROLITOS ORALES PEDIÁTRICO SABOR MANZANA 300 ML SOLURAL,1.0,2022-01-02,16,1.0
698,TRIMETOPRIMA  SULFAMETOXAZOL TABLETAS 160 MG  800 MG 14 PCS BACTIVER,2.0,2022-01-02,16,2.0
731,VENDA ELÁSTICA 10 CM X 5 M,1.0,2022-01-02,16,1.0
770,ELECTROLITOS ORALES SABOR FRESA,1.0,2022-01-02,16,1.0
772,ELECTROLITOS ORALES SABOR COCO,2.0,2022-01-02,16,2.0
773,ELECTROLITOS ORALES SABOR NARANJA MANDARINA,8.0,2022-01-02,16,2.0
875,ALCOHOL JALOMA DSNATURALIZADO FRASCO 120 ML,1.0,2022-01-02,16,1.0
91,AMBROXOL  LEVODROPROPIZINA SOLUCIÓN 300MG  600MG DIZOLVINFLUX,1.0,2022-01-02,16,1.0
358,GUANTE BLANCO MEDIANO,20.0,2022-01-03,16,20.0
413,JERINGA 03 ML VERDE PLÁSTICO DESECHABLE,1.0,2022-01-03,16,1.0
438,KETOROLACO SUBLINGUAL TABLETAS 30 G 6 PZ MAVIDOL SL,5.0,2022-01-03,16,5.0
477,MEBENDAZOL TABLETAS 100 MG 6 PZ FANCIADAZOL,1.0,2022-01-03,16,1.0
698,TRIMETOPRIMA  SULFAMETOXAZOL TABLETAS 160 MG  800 MG 14 PCS BACTIVER,3.0,2022-01-03,16,3.0
731,VENDA ELÁSTICA 10 CM X 5 M,2.0,2022-01-03,16,2.0
770,ELECTROLITOS ORALES SABOR FRESA,18.0,2022-01-03,16,6.0
773,ELECTROLITOS ORALES SABOR NARANJA MANDARINA,1.0,2022-01-03,16,1.0
774,ELECTROLITOS ORALES SABOR FRESA KIWI,2.0,2022-01-03,16,2.0
779,ELECTROLITOS ORALES SABOR LIMA LIMON,1.0,2022-01-03,16,1.0
787,BIBERON 4 OZ 120ML PLÁSTICO,1.0,2022-01-03,16,1.0
9023,ARICOF  EXTRACTO DE HEDERA HELIX  JUGO DE ARÁNDANO  EXTRACTO DE BUGAMBILIA  MIEL JARABE 120 ML ,1.0,2022-01-03,16,1.0
9361,GERAMIN  JALEA REAL  VITAMINAS  MINERALES 30 CÁPSULAS DE 900 MG ,2.0,2022-01-03,16,2.0
9499,COLAGENO ARANDANO 12 KG,1.0,2022-01-03,16,1.0
9799,URBA GASTRO,1.0,2022-01-03,16,1.0
449,LANSOPRAZOL CAPSULAS 15 MG 14 PZ LAFIN,2.0,2022-01-04,16,2.0
698,TRIMETOPRIMA  SULFAMETOXAZOL TABLETAS 160 MG  800 MG 14 PCS BACTIVER,1.0,2022-01-04,16,1.0
770,ELECTROLITOS ORALES SABOR FRESA,1.0,2022-01-04,16,1.0
773,ELECTROLITOS ORALES SABOR NARANJA MANDARINA,8.0,2022-01-04,16,2.0
9254,DINAMAX JUNIOR  JALEA REAL  VITAMINAS  MINERALES JARABE 250 ML ,1.0,2022-01-04,16,1.0
192,CLOTRIMAZOL CREMA VAGINAL EURODERM,1.0,2022-01-05,16,1.0
229,DEXAMETASONA  NEOMICINA GOTAS OFTÁLMICAS CON 5ML 1035MG GOTADEX,1.0,2022-01-05,16,1.0
875,ALCOHOL JALOMA DSNATURALIZADO FRASCO 120 ML,1.0,2022-01-05,16,1.0
9014,DANIC  ÁCIDO ASCÓRBICO  VITAMINA C  90 TABLETAS MASTICABLES  SABOR CEREZA,1.0,2022-01-05,16,1.0
438,KETOROLACO SUBLINGUAL TABLETAS 30 G 6 PZ MAVIDOL SL,2.0,2022-01-06,16,2.0
485,MELOXICAM TABLETAS 15 MG 10 PCS AURICAM,1.0,2022-01-06,16,1.0
584,OMEPRAZOL CAPSULAS 40 MG 007 PZ MORNIN,1.0,2022-01-06,16,1.0
698,TRIMETOPRIMA  SULFAMETOXAZOL TABLETAS 160 MG  800 MG 14 PCS BACTIVER,1.0,2022-01-06,16,1.0
773,ELECTROLITOS ORALES SABOR NARANJA MANDARINA,216.0,2022-01-06,16,6.0
780,YODOPOVIDONA 120 ML (ESPUMA) ROYDONAE,1.0,2022-01-06,16,1.0
9531,MAXI B GS  COMPLEJO B  GINSENG  MULTIVITAMÍNICO  VITAMINAS CÁPSULAS 570 MG 30 PZ ,1.0,2022-01-06,16,1.0
413,JERINGA 03 ML VERDE PLÁSTICO DESECHABLE,1.0,2022-01-07,16,1.0
438,KETOROLACO SUBLINGUAL TABLETAS 30 G 6 PZ MAVIDOL SL,1.0,2022-01-07,16,1.0
698,TRIMETOPRIMA  SULFAMETOXAZOL TABLETAS 160 MG  800 MG 14 PCS BACTIVER,1.0,2022-01-07,16,1.0
773,ELECTROLITOS ORALES SABOR NARANJA MANDARINA,27.0,2022-01-07,16,3.0
774,ELECTROLITOS ORALES SABOR FRESA KIWI,1.0,2022-01-07,16,1.0
875,ALCOHOL JALOMA DSNATURALIZADO FRASCO 120 ML,1.0,2022-01-07,16,1.0
192,CLOTRIMAZOL CREMA VAGINAL EURODERM,1.0,2022-01-08,16,1.0
413,JERINGA 03 ML VERDE PLÁSTICO DESECHABLE,13.0,2022-01-08,16,4.0
438,KETOROLACO SUBLINGUAL TABLETAS 30 G 6 PZ MAVIDOL SL,1.0,2022-01-08,16,1.0
677,ELECTROLITOS ORALES PEDIÁTRICO SABOR UVA 300 ML SOLURAL,1.0,2022-01-08,16,1.0
698,TRIMETOPRIMA  SULFAMETOXAZOL TABLETAS 160 MG  800 MG 14 PCS BACTIVER,1.0,2022-01-08,16,1.0
875,ALCOHOL JALOMA DSNATURALIZADO FRASCO 120 ML,1.0,2022-01-08,16,1.0
9731,TAFLAVIX  VALERIANA  PASIFLORA 40 TABLETAS ,1.0,2022-01-08,16,1.0
9796,BIOGRICIN VITAMINA C,1.0,2022-01-08,16,1.0
177,CLINDAMICINA AMPOLLETA 300 MG CON 1 PZA,4.0,2022-01-09,16,4.0
193,"CLOTRIMAZOL PRESENTACIÓN DUAL, CREMA VAGINAL",2.0,2022-01-09,16,2.0
407,JERINGA 10 ML NEGRA PLÁSTICO DESECHABLE,5.0,2022-01-09,16,5.0
413,JERINGA 03 ML VERDE PLÁSTICO DESECHABLE,4.0,2022-01-09,16,4.0
438,KETOROLACO SUBLINGUAL TABLETAS 30 G 6 PZ MAVIDOL SL,1.0,2022-01-09,16,1.0
698,TRIMETOPRIMA  SULFAMETOXAZOL TABLETAS 160 MG  800 MG 14 PCS BACTIVER,1.0,2022-01-09,16,1.0
772,ELECTROLITOS ORALES SABOR COCO,16.0,2022-01-09,16,4.0
782,ACEITE PARA BEBÉ 60ML,1.0,2022-01-09,16,1.0
9796,BIOGRICIN VITAMINA C,3.0,2022-01-09,16,3.0
192,CLOTRIMAZOL CREMA VAGINAL EURODERM,1.0,2022-01-10,16,1.0
204,CALCITRIOL CÁPSULAS 50 PZ GELDEX,1.0,2022-01-10,16,1.0
438,KETOROLACO SUBLINGUAL TABLETAS 30 G 6 PZ MAVIDOL SL,1.0,2022-01-10,16,1.0
485,MELOXICAM TABLETAS 15 MG 10 PCS AURICAM,1.0,2022-01-10,16,1.0
871,CVYM TABLETAS C30 1000MG CU,1.0,2022-01-10,16,1.0
9016,ACTI KROLL  ÁCIDO GLUTÁMICO  TIAMINA 100 TABLETAS DE 807 MG  SUPLEMENTO ALIMENTICIO,1.0,2022-01-10,16,1.0
358,GUANTE BLANCO MEDIANO,2.0,2022-01-11,16,2.0
9781,SUPRA  V TABS C72 CAPSULAS,1.0,2022-01-11,16,1.0
126,CEFUROXIMA C10 TABLETAS 250 MG,1.0,2022-01-12,16,1.0
192,CLOTRIMAZOL CREMA VAGINAL EURODERM,2.0,2022-01-12,16,2.0
358,GUANTE BLANCO MEDIANO,10.0,2022-01-12,16,10.0
431,KETOPROFENO CAPSULAS 100 MG 15 PZ ARTHRIL,1.0,2022-01-12,16,1.0
438,KETOROLACO SUBLINGUAL TABLETAS 30 G 6 PZ MAVIDOL SL,1.0,2022-01-12,16,1.0
771,ELECTROLITOS ORALES SABOR MANZANA,1.0,2022-01-12,16,1.0
772,ELECTROLITOS ORALES SABOR COCO,9.0,2022-01-12,16,3.0
774,ELECTROLITOS ORALES SABOR FRESA KIWI,1.0,2022-01-12,16,1.0
776,ELECTROLITOS ORALES SABOR JAMAICA,1.0,2022-01-12,16,1.0
9023,ARICOF  EXTRACTO DE HEDERA HELIX  JUGO DE ARÁNDANO  EXTRACTO DE BUGAMBILIA  MIEL JARABE 120 ML ,1.0,2022-01-12,16,1.0
9792,SUPRA INMUNOX C72 CAPSULAS,1.0,2022-01-12,16,1.0
192,CLOTRIMAZOL CREMA VAGINAL EURODERM,1.0,2022-01-13,16,1.0
431,KETOPROFENO CAPSULAS 100 MG 15 PZ ARTHRIL,1.0,2022-01-13,16,1.0
438,KETOROLACO SUBLINGUAL TABLETAS 30 G 6 PZ MAVIDOL SL,1.0,2022-01-13,16,1.0
9275,GERIASURE CH  VITAMINAS  MINERALES  ÁCIDO FÓLICO  PROTEÍNAS 400 G SABOR CHOCOLATE ,1.0,2022-01-13,16,1.0
9792,SUPRA INMUNOX C72 CAPSULAS,1.0,2022-01-13,16,1.0
192,CLOTRIMAZOL CREMA VAGINAL EURODERM,1.0,2022-01-14,16,1.0
438,KETOROLACO SUBLINGUAL TABLETAS 30 G 6 PZ MAVIDOL SL,2.0,2022-01-14,16,2.0
9185,HERBA PUL  MIEL DE AGAVE  PROPÓLEO  GORDOLOBO  MIRRA MENTA  MENTOL  EQUINÁCEA  SAUCO  VITAMINA C SOLUCIÓN 240 ML SUPLEMENTO ALIMENTICIO,1.0,2022-01-14,16,1.0
9480,AJO CHINO CAPUSULAS 60 PZ,3.0,2022-01-14,16,3.0
358,GUANTE BLANCO MEDIANO,4.0,2022-01-15,16,4.0
438,KETOROLACO SUBLINGUAL TABLETAS 30 G 6 PZ MAVIDOL SL,1.0,2022-01-15,16,1.0
438,KETOROLACO SUBLINGUAL TABLETAS 30 G 6 PZ MAVIDOL SL,2.0,2022-01-16,16,2.0
74,ATENOLOL TABLETAS 050 MG 28 PZ BIOFILEN,1.0,2022-01-16,16,1.0
438,KETOROLACO SUBLINGUAL TABLETAS 30 G 6 PZ MAVIDOL SL,2.0,2022-01-17,16,2.0
545,NAPROXENO SÓDICO TABLETAS 275 MG 20 PCS BIXEN,3.0,2022-01-17,16,3.0
780,YODOPOVIDONA 120 ML (ESPUMA) ROYDONAE,1.0,2022-01-17,16,1.0
9025,CKIDS  VITAMINA C  PÉTALOS DE ROSA  EQUINÁCEA 30 TABLETAS MASTICABLES 800 MG CU ,2.0,2022-01-17,16,2.0
9155,GEL TÓPICO SALUDOL  MENTOL  ÁRNICA  CALÉNDULA  SÁBILA 100 G,1.0,2022-01-17,16,1.0
9275,GERIASURE CH  VITAMINAS  MINERALES  ÁCIDO FÓLICO  PROTEÍNAS 400 G SABOR CHOCOLATE ,1.0,2022-01-17,16,1.0
9731,TAFLAVIX  VALERIANA  PASIFLORA 40 TABLETAS ,1.0,2022-01-17,16,1.0
9792,SUPRA INMUNOX C72 CAPSULAS,1.0,2022-01-17,16,1.0
9017,GLUTA MAX  ÁCIDO GLUTÁMICO  COMPLEJO B  VITAMINA C 60 TABLETAS DE 062 G ,1.0,2022-01-18,16,1.0
9277,GERIASURE VN  VITAMINAS  MINERALES  ÁCIDO FÓLICO  PROTEÍNAS 400 GR SABOR VAINILLA ,1.0,2022-01-18,16,1.0
9499,COLAGENO ARANDANO 12 KG,1.0,2022-01-18,16,1.0
9786,URBADOL  GEL 80 GR,1.0,2022-01-18,16,1.0
9792,SUPRA INMUNOX C72 CAPSULAS,1.0,2022-01-18,16,1.0
202,MONTELUKAST COMPRIMIDOS 05 MG 30 PCS INHALST,1.0,2022-01-19,16,1.0
358,GUANTE BLANCO MEDIANO,20.0,2022-01-19,16,20.0
438,KETOROLACO SUBLINGUAL TABLETAS 30 G 6 PZ MAVIDOL SL,2.0,2022-01-19,16,2.0
698,TRIMETOPRIMA  SULFAMETOXAZOL TABLETAS 160 MG  800 MG 14 PCS BACTIVER,1.0,2022-01-19,16,1.0
774,ELECTROLITOS ORALES SABOR FRESA KIWI,1.0,2022-01-19,16,1.0
775,ELECTROLITOS ORALES SABOR UVA,1.0,2022-01-19,16,1.0
9037,GUVATOX 120 ML JARABE  EXTRACTO DE HEDERA HELIX  EXTRACTO DE BUGAMBILIA,1.0,2022-01-19,16,1.0
477,MEBENDAZOL TABLETAS 100 MG 6 PZ FANCIADAZOL,1.0,2022-01-20,16,1.0
698,TRIMETOPRIMA  SULFAMETOXAZOL TABLETAS 160 MG  800 MG 14 PCS BACTIVER,1.0,2022-01-20,16,1.0
9185,HERBA PUL  MIEL DE AGAVE  PROPÓLEO  GORDOLOBO  MIRRA MENTA  MENTOL  EQUINÁCEA  SAUCO  VITAMINA C SOLUCIÓN 240 ML SUPLEMENTO ALIMENTICIO,1.0,2022-01-20,16,1.0
438,KETOROLACO SUBLINGUAL TABLETAS 30 G 6 PZ MAVIDOL SL,3.0,2022-01-21,16,3.0
770,ELECTROLITOS ORALES SABOR FRESA,1.0,2022-01-21,16,1.0
773,ELECTROLITOS ORALES SABOR NARANJA MANDARINA,1.0,2022-01-21,16,1.0
9014,DANIC  ÁCIDO ASCÓRBICO  VITAMINA C  90 TABLETAS MASTICABLES  SABOR CEREZA,1.0,2022-01-21,16,1.0
9361,GERAMIN  JALEA REAL  VITAMINAS  MINERALES 30 CÁPSULAS DE 900 MG ,1.0,2022-01-21,16,1.0
358,GUANTE BLANCO MEDIANO,2.0,2022-01-22,16,2.0
477,MEBENDAZOL TABLETAS 100 MG 6 PZ FANCIADAZOL,2.0,2022-01-22,16,2.0
770,ELECTROLITOS ORALES SABOR FRESA,1.0,2022-01-22,16,1.0
777,ELECTROLITOS ORALES SABOR MORA AZUL,1.0,2022-01-22,16,1.0
