CodigoArticulo,DescripcionArticulo,TotalVendido,FechaVenta,Sucursal,InventarioMovimiento
115,BUTILHIOSCINA  METAMIZOL TABLETAS 250 MG 10 PZ HIOSCINA  SÓDICO,1.0,2022-01-01,30,1.0
242,DICLOXACILINA SUSPENSIÓN 250 MG  5 ML AMIFARIN,1.0,2022-01-01,30,1.0
406,HIDROXICINA TABLETAS 10 MG C30 HIDROXIN,1.0,2022-01-01,30,1.0
411,JERINGA 05 ML NEGRA PLÁSTICO DESECHABLE,3.0,2022-01-01,30,3.0
457,LOPERAMIDA TABLETAS 2 MG 12 PZ EXCLEFIN,2.0,2022-01-01,30,2.0
481,MECLIZINA  PIRIDOXINA AMPOLLETAS 1 ML 25 MG 50 MG 5 PZ VOREMI,1.0,2022-01-01,30,1.0
584,OMEPRAZOL CAPSULAS 40 MG 007 PZ MORNIN,1.0,2022-01-01,30,1.0
774,ELECTROLITOS ORALES SABOR FRESA KIWI,1.0,2022-01-01,30,1.0
775,ELECTROLITOS ORALES SABOR UVA,1.0,2022-01-01,30,1.0
9156,PROBIÓTICOS   6 SOBRES LACTIV ,1.0,2022-01-01,30,1.0
9168,DIBENEL  VITAMINAS  ANTIOXIDANTES  MINERALES  OMEGA 3 30 CÁPSULAS DE 094 G CU,1.0,2022-01-01,30,1.0
9789,DIBENEL MAX  CAPSULAS C30 DE 135G CU,1.0,2022-01-01,30,1.0
115,BUTILHIOSCINA  METAMIZOL TABLETAS 250 MG 10 PZ HIOSCINA  SÓDICO,1.0,2022-01-02,30,1.0
184,CLORFENAMINA JARABE BLENDOX,1.0,2022-01-02,30,1.0
186,CLORFENAMINA  PARACETAMOL  CAFEÍNA TABLETAS 500 MG 10 PZ KY6,3.0,2022-01-02,30,3.0
191,CLOTRIMAZOL CREMA 30 GR,1.0,2022-01-02,30,1.0
223,DEXTROMETORFANO  GUAIFENESINA JARABE ADULTO 120 ML DEBEQUIN C,1.0,2022-01-02,30,1.0
252,DIMENHIDRINATO CÁPSULAS 50 MG 12 PZ DIMICAPS,1.0,2022-01-02,30,1.0
413,JERINGA 03 ML VERDE PLÁSTICO DESECHABLE,3.0,2022-01-02,30,3.0
415,JERINGA PLÁSTICO DESECHABLE INSULINA 5 ML,1.0,2022-01-02,30,1.0
546,NAPROXENO SÓDICO TABLETAS 550 MG 12 PCS BIXEN,1.0,2022-01-02,30,1.0
55,AMOXICILINA SUSPENSION 500 MG 60 ML DIMOPEN,2.0,2022-01-02,30,2.0
570,HIPROMELOSA SOLUCIÓN OFTALMICA,2.0,2022-01-02,30,2.0
585,OMEPRAZOL CAPSULAS 20 MG 028 PZ,1.0,2022-01-02,30,1.0
9476,MONAR MIEL  MIEL  VITAMINA C  EUCALIPTO  PROPÓLEO  EXTRACTO DE MENTOL  EXTRACTO DE CEBOLLA  EXTRACTO DE LIMÓN,2.0,2022-01-02,30,2.0
