CodigoArticulo,DescripcionArticulo,TotalVendido,FechaVenta,Sucursal,InventarioMovimiento
103,BETAMETASONA  CLOTRIMAZOL  GENTAMICINA CREMA 30 G BARMICIL COMPUESTO,2.0,2022-01-01,23,2.0
186,CLORFENAMINA  PARACETAMOL  CAFEÍNA TABLETAS 500 MG 10 PZ KY6,2.0,2022-01-01,23,2.0
234,DICLOFENACO TABLETAS 100 MG 20 PZ NEDICLON,2.0,2022-01-01,23,2.0
255,DEXAMETASONA AMPOLLETAS 8 MG  2 ML 3 PZ METAX,1.0,2022-01-01,23,1.0
261,DICLOFENAC  COMPLEJO VITAMÍNICO B TABLETAS 50 MG 30 PZ DICLOFENACO  COMPLEJO B,1.0,2022-01-01,23,1.0
387,IBUPROFENO TABLETAS 400 MG 10 PCS ZOAFALETH,1.0,2022-01-01,23,1.0
39,AMBROXOL  DEXTROMETORFANO SOLUCIÓN ADULTO 120 ML OXOLBRUL,3.0,2022-01-01,23,3.0
390,IBUPROFENO TABLETAS 800 MG 10 PCS ADOPREN,2.0,2022-01-01,23,2.0
392,INDOMETACINA  DEXAMETASONA GRAGEAS 025  25 MG 30 PZ DEXIMET,1.0,2022-01-01,23,1.0
395,IVERMECTINA TABLETAS 6 MG 2 PZ IVEXTERM,1.0,2022-01-01,23,1.0
409,JERINGA 03 ML PEDIATRICA AZUL PLASTICO DESECHABLE,3.0,2022-01-01,23,3.0
410,JERINGA 03 ML NEGRA PLÁSTICO DESECHABLE,3.0,2022-01-01,23,3.0
412,JERINGA INSULINA 100 UNIDADES PLÁSTICO DESECHABLE,5.0,2022-01-01,23,5.0
414,JERINGA 05 ML VERDE PLÁSTICO DESECHABLE,9.0,2022-01-01,23,9.0
438,KETOROLACO SUBLINGUAL TABLETAS 30 G 6 PZ MAVIDOL SL,3.0,2022-01-01,23,3.0
465,AMBROXOL  LORATADINA SOLUCION 600 MG  100 MG 120 ML LOVARINEX,1.0,2022-01-01,23,1.0
486,CLORURO DE BENZALCONIO 40 ML 0133 G MERTODOL BLANCO,1.0,2022-01-01,23,1.0
521,SILDENAFIL TABLETAS 100 MG 01 PCS FIGRAL,1.0,2022-01-01,23,1.0
54,AMOXICILINA CAPSULAS 500 MG 12 PZ DIMOPEN,1.0,2022-01-01,23,1.0
623,PRUEBA DE EMBARAZO INTIMED,1.0,2022-01-01,23,1.0
698,TRIMETOPRIMA  SULFAMETOXAZOL TABLETAS 160 MG  800 MG 14 PCS BACTIVER,1.0,2022-01-01,23,1.0
701,BENZOCAÍNA  CLORURO DE CETILPIRIDINIO TABLETAS 12 PZ 25 MG  10 MG TROCILETAS B,1.0,2022-01-01,23,1.0
735,VENDA ELÁSTICA 05 CM X 5 M,1.0,2022-01-01,23,1.0
742,LEVONORGESTREL TABLETAS 075 MG 2 PZ SILOGIN,4.0,2022-01-01,23,4.0
772,ELECTROLITOS ORALES SABOR COCO,8.0,2022-01-01,23,2.0
813,GEL ANTIBACTERIAL DE 160 GR,1.0,2022-01-01,23,1.0
9032,COLÁGENO HIDROLIZADO BLUE BERRY VITAMINA E  EXTRACTO  OMEGA 369  HIERRO 1100 KG,1.0,2022-01-01,23,1.0
9080,QUERYABA G  EXTRACTO DE HOJAS DE ESPINHEIRA SANTA  EXTRACTO DE GUAYABA 60 TABLETAS  545 MG CU ,1.0,2022-01-01,23,1.0
91,AMBROXOL  LEVODROPROPIZINA SOLUCIÓN 300MG  600MG DIZOLVINFLUX,1.0,2022-01-01,23,1.0
9290,EUCALIN KID´S JARABE INFANTIL  PROPÓLEO  GORDOLOBO  EXTRACTO DE BUGAMBILIA  EUCALIPTO 240 ML,1.0,2022-01-01,23,1.0
