CodigoArticulo,DescripcionArticulo,TotalVendido,FechaVenta,Sucursal,InventarioMovimiento
410,JERINGA 03 ML NEGRA PLÁSTICO DESECHABLE,3.0,2022-01-01,6,3.0
438,KETOROLACO SUBLINGUAL TABLETAS 30 G 6 PZ MAVIDOL SL,1.0,2022-01-01,6,1.0
521,SILDENAFIL TABLETAS 100 MG 01 PCS FIGRAL,1.0,2022-01-01,6,1.0
54,AMOXICILINA CAPSULAS 500 MG 12 PZ DIMOPEN,2.0,2022-01-01,6,2.0
771,ELECTROLITOS ORALES SABOR MANZANA,1.0,2022-01-01,6,1.0
9069,PEINE LIENDRERO,1.0,2022-01-01,6,1.0
9481,MONAR CALM  7 AZAHARES  LÚPULO  PASIFLORA  VALERIANA  TILA  TUMBAVAQUERO CAPSULAS 500 MG 36 PZ ,1.0,2022-01-01,6,1.0
9488,HORNYSEX,1.0,2022-01-01,6,1.0
9804,MONAR KIDS,2.0,2022-01-01,6,2.0
S014,COCACOLA 355 ML NRP,2.0,2022-01-01,6,2.0
S028,COCACOLA 450 ML NR PET,1.0,2022-01-01,6,1.0
S036,SPRITE 500 ML NR,1.0,2022-01-01,6,1.0
184,CLORFENAMINA JARABE BLENDOX,1.0,2022-01-02,6,1.0
438,KETOROLACO SUBLINGUAL TABLETAS 30 G 6 PZ MAVIDOL SL,4.0,2022-01-02,6,4.0
467,LORATADINA  BETAMETASONA TABLETAS 50 MG  025 MG 10 PZ TAMEX,1.0,2022-01-02,6,1.0
54,AMOXICILINA CAPSULAS 500 MG 12 PZ DIMOPEN,1.0,2022-01-02,6,1.0
698,TRIMETOPRIMA  SULFAMETOXAZOL TABLETAS 160 MG  800 MG 14 PCS BACTIVER,1.0,2022-01-02,6,1.0
776,ELECTROLITOS ORALES SABOR JAMAICA,1.0,2022-01-02,6,1.0
154,CEFADROXILO CAPSULAS 500 MG 16 PZ,1.0,2022-01-03,6,1.0
176,CLINDAMICINA CAPSULAS 300 MG 16 PZ INDACIL,2.0,2022-01-03,6,2.0
275,PINAVERIO  DIMETICONA 16 CAPSULAS,2.0,2022-01-03,6,2.0
410,JERINGA 03 ML NEGRA PLÁSTICO DESECHABLE,1.0,2022-01-03,6,1.0
413,JERINGA 03 ML VERDE PLÁSTICO DESECHABLE,6.0,2022-01-03,6,6.0
438,KETOROLACO SUBLINGUAL TABLETAS 30 G 6 PZ MAVIDOL SL,2.0,2022-01-03,6,2.0
467,LORATADINA  BETAMETASONA TABLETAS 50 MG  025 MG 10 PZ TAMEX,6.0,2022-01-03,6,6.0
529,SILDENAFIL TABLETAS 050 MG 04 PCS FIGRAL,1.0,2022-01-03,6,1.0
54,AMOXICILINA CAPSULAS 500 MG 12 PZ DIMOPEN,4.0,2022-01-03,6,4.0
727,VENDA ELÁSTICA 07 CM X 5 M,1.0,2022-01-03,6,1.0
772,ELECTROLITOS ORALES SABOR COCO,1.0,2022-01-03,6,1.0
85,AZITROMICINA TABLETAS 500 MG 3 PZ ZERTALIN,4.0,2022-01-03,6,4.0
9162,CHICLES FLAVONO  GOMA BASE  TÉ VERDE 5 ,1.0,2022-01-03,6,1.0
9485,MONARLINE TABLETAS LCARNITINA  ALCACHOFA,1.0,2022-01-03,6,1.0
9499,COLAGENO ARANDANO 12 KG,1.0,2022-01-03,6,1.0
9562,NOPALINAZA PLUS CAPSULAS 400 MG 90 PZ OMEGA 369  NOPAL  LINAZA  HOJA SEN,1.0,2022-01-03,6,1.0
9783,SUPRA CELL COLAGENO GRANADA Y ZARZAMORA,1.0,2022-01-03,6,1.0
S014,COCACOLA 355 ML NRP,1.0,2022-01-03,6,1.0
S026,DEL VALLE MZA 413ML NRV NECTAR 413 ML,2.0,2022-01-03,6,2.0
S028,COCACOLA 450 ML NR PET,2.0,2022-01-03,6,2.0
S036,SPRITE 500 ML NR,1.0,2022-01-03,6,1.0
176,CLINDAMICINA CAPSULAS 300 MG 16 PZ INDACIL,2.0,2022-01-04,6,2.0
413,JERINGA 03 ML VERDE PLÁSTICO DESECHABLE,1.0,2022-01-04,6,1.0
467,LORATADINA  BETAMETASONA TABLETAS 50 MG  025 MG 10 PZ TAMEX,5.0,2022-01-04,6,5.0
486,CLORURO DE BENZALCONIO 40 ML 0133 G MERTODOL BLANCO,1.0,2022-01-04,6,1.0
521,SILDENAFIL TABLETAS 100 MG 01 PCS FIGRAL,1.0,2022-01-04,6,1.0
54,AMOXICILINA CAPSULAS 500 MG 12 PZ DIMOPEN,4.0,2022-01-04,6,4.0
771,ELECTROLITOS ORALES SABOR MANZANA,1.0,2022-01-04,6,1.0
9254,DINAMAX JUNIOR  JALEA REAL  VITAMINAS  MINERALES JARABE 250 ML ,1.0,2022-01-04,6,1.0
9485,MONARLINE TABLETAS LCARNITINA  ALCACHOFA,1.0,2022-01-04,6,1.0
S014,COCACOLA 355 ML NRP,1.0,2022-01-04,6,1.0
S028,COCACOLA 450 ML NR PET,3.0,2022-01-04,6,3.0
275,PINAVERIO  DIMETICONA 16 CAPSULAS,1.0,2022-01-05,6,1.0
410,JERINGA 03 ML NEGRA PLÁSTICO DESECHABLE,6.0,2022-01-05,6,6.0
467,LORATADINA  BETAMETASONA TABLETAS 50 MG  025 MG 10 PZ TAMEX,1.0,2022-01-05,6,1.0
54,AMOXICILINA CAPSULAS 500 MG 12 PZ DIMOPEN,1.0,2022-01-05,6,1.0
545,NAPROXENO SÓDICO TABLETAS 275 MG 20 PCS BIXEN,1.0,2022-01-05,6,1.0
772,ELECTROLITOS ORALES SABOR COCO,1.0,2022-01-05,6,1.0
773,ELECTROLITOS ORALES SABOR NARANJA MANDARINA,1.0,2022-01-05,6,1.0
776,ELECTROLITOS ORALES SABOR JAMAICA,1.0,2022-01-05,6,1.0
778,ELECTROLITOS ORALES SABOR PIÑA,1.0,2022-01-05,6,1.0
85,AZITROMICINA TABLETAS 500 MG 3 PZ ZERTALIN,7.0,2022-01-05,6,7.0
9025,CKIDS  VITAMINA C  PÉTALOS DE ROSA  EQUINÁCEA 30 TABLETAS MASTICABLES 800 MG CU ,1.0,2022-01-05,6,1.0
S014,COCACOLA 355 ML NRP,1.0,2022-01-05,6,1.0
S027,DEL VALLE DZNO 413 ML NRV 413 ML ,1.0,2022-01-05,6,1.0
S028,COCACOLA 450 ML NR PET,1.0,2022-01-05,6,1.0
S036,SPRITE 500 ML NR,2.0,2022-01-05,6,2.0
157,CEFALEXINA TABLETAS 500 MG 12 PZ CEFALVER,2.0,2022-01-06,6,2.0
