CodigoArticulo,DescripcionArticulo,TotalVendido,FechaVenta,Sucursal,InventarioMovimiento
234,DICLOFENACO TABLETAS 100 MG 20 PZ NEDICLON,3.0,2022-01-01,34,3.0
773,ELECTROLITOS ORALES SABOR NARANJA MANDARINA,8.0,2022-01-01,34,2.0
78,AMANTADINA  CLORFENIRAMINA  PARACETAMOL TABLETAS 15 PZ ROSELT,2.0,2022-01-01,34,2.0
9285,BACAOVIT ELIXIR  ACEITE DE HÍGADO DE BACALAO  VITAMINAS  MINERALES 340 ML ,1.0,2022-01-01,34,1.0
9488,HORNYSEX,1.0,2022-01-01,34,1.0
9739,REVITARE  VITAMINA E 30 CÁPSULAS 400 MG ,1.0,2022-01-01,34,1.0
9747,PIOKIDS SHAMPOO,1.0,2022-01-01,34,1.0
234,DICLOFENACO TABLETAS 100 MG 20 PZ NEDICLON,2.0,2022-01-02,34,2.0
408,JERINGA 10 ML VERDE PLÁSTICO DESECHABLE,1.0,2022-01-02,34,1.0
413,JERINGA 03 ML VERDE PLÁSTICO DESECHABLE,1.0,2022-01-02,34,1.0
438,KETOROLACO SUBLINGUAL TABLETAS 30 G 6 PZ MAVIDOL SL,1.0,2022-01-02,34,1.0
617,CONDONES PUCC,1.0,2022-01-02,34,1.0
78,AMANTADINA  CLORFENIRAMINA  PARACETAMOL TABLETAS 15 PZ ROSELT,1.0,2022-01-02,34,1.0
9407,ABEJALEA JALEA REAL  VITAMINAS  MINERALES 30 CÁPSULAS DE 500 MG,1.0,2022-01-02,34,1.0
9487,MONARFIBER SALVADO DE TRIGO  LINAZA POLVO,1.0,2022-01-02,34,1.0
96,BENCILPENICILINA 400 000 UI SUSPENSIÓN INYECTABLE PENIPOT,2.0,2022-01-02,34,2.0
9736,"PALMITATO DE RETINOL  VITAMINA A CAPSULAS EQUIVALENTE A 50,000 UL DE VITAMINA A 40 PZ RETIGEL",1.0,2022-01-02,34,1.0
9786,URBADOL  GEL 80 GR,2.0,2022-01-02,34,2.0
234,DICLOFENACO TABLETAS 100 MG 20 PZ NEDICLON,11.0,2022-01-03,34,11.0
252,DIMENHIDRINATO CÁPSULAS 50 MG 12 PZ DIMICAPS,1.0,2022-01-03,34,1.0
311,FLUCONAZOL CAPSULA 150 MG 1 PZ ONGICIL,3.0,2022-01-03,34,3.0
